"","ID","B_cells_naive_CIBERSORT","B_cells_memory_CIBERSORT","Plasma_cells_CIBERSORT","T_cells_CD8_CIBERSORT","T_cells_CD4_naive_CIBERSORT","T_cells_CD4_memory_resting_CIBERSORT","T_cells_CD4_memory_activated_CIBERSORT","T_cells_follicular_helper_CIBERSORT","T_cells_regulatory_(Tregs)_CIBERSORT","T_cells_gamma_delta_CIBERSORT","NK_cells_resting_CIBERSORT","NK_cells_activated_CIBERSORT","Monocytes_CIBERSORT","Macrophages_M0_CIBERSORT","Macrophages_M1_CIBERSORT","Macrophages_M2_CIBERSORT","Dendritic_cells_resting_CIBERSORT","Dendritic_cells_activated_CIBERSORT","Mast_cells_resting_CIBERSORT","Mast_cells_activated_CIBERSORT","Eosinophils_CIBERSORT","Neutrophils_CIBERSORT","P-value_CIBERSORT","Correlation_CIBERSORT","RMSE_CIBERSORT"
"1","TCGA-OR-A5J2-01A",0.0420412775847689,0,0.018064328959977,0.0329101442209262,0,0.270655224813352,0,0.0157705783561802,0.0301173130202244,0,0,0.0166468359738497,0.0174651597433856,0.133111078457958,0.00956495887093788,0.296298478142163,0,0.0872053124382485,0.0301493094180287,0,0,0,0.15,0.0564735885305817,1.06349016081385
"2","TCGA-OR-A5K5-01A",0,0.0121070621488648,0.0685646558870972,0.00856367202242137,0,0.0604104034873021,0,0.0325893660108768,0,0,0.00354776264583034,0.0711736218977471,0.0585588027735948,0.0686459457930092,0,0.111349717404005,0,0.456888413514966,0.0476005764142857,0,0,0,0.44,0.00894236494190671,1.1305902406346
"3","TCGA-OR-A5JW-01A",0.0346017730942255,0,0,0.0223853804557152,0,0.344788704581121,0,0,0,0,0.0176657034840355,0.0222713027733586,0.13841594323671,0,0.00412335082598625,0.195840524456108,0,0.093129412960302,0.0775138936094609,0,0.0492640105229774,0,0.13,0.0682378987730795,1.04883007197722
"4","TCGA-OR-A5L8-01A",0.0102620013814893,0.0713515878904333,0,0,0.168165711528721,0.370744682585977,0,0,0,0,0.0291749976313146,0.0259530863546042,0.0635792574775474,0,0.0293200247301418,0.198255618339851,0,0.0157069858162376,0.00982103243515804,0,0.00766501382852405,0,0.635,-0.00890668271715514,1.10376253015192
"5","TCGA-OR-A5JT-01A",0,0.00585252253213536,0.0203724699446032,0.021364108306461,0,0.311722672743428,0,0,0,0,0.0363387062559888,0.029227486536982,0.0864762089156335,0.0451611112728549,0.0476170783530337,0.246583101893935,0,0.094848241652872,0.054436291592073,0,0,0,0.165,0.0515208855508344,1.05873648180001
"6","TCGA-OR-A5JO-01A",0.0245213419730022,0,0.000671940941598642,0.0578930770786245,0,0.169220713769807,0,0,0.00997155405495523,0.0274690914927168,0,0.0728984451147527,0.0435392120127653,0,0.048225848069657,0.294377796558616,0.0353260287075283,0,0.215884950225976,0,0,0,0,0.29739594609912,0.960613577288352
"7","TCGA-OR-A5JP-01A",0.0357181765895098,0,0.0221991866102333,0,0,0.386212420574628,0,0,0,0,0.0272328680718896,0.000752450955881707,0.0153736221808715,0.11235385670275,0.0181383484129211,0.203918946373343,0,0.141764584922868,0.00639240313819337,0,0.02994313546691,0,0.4,0.0131689714261171,1.08167421463997
"8","TCGA-OR-A5JI-01A",0.0609349000680534,0,0.00132951294026745,0.209635291949221,0,0.239568036382119,0,0,0.068141316812556,0,0,0.0592006454853865,0.0199134272255922,0,0.0435648344645845,0.246767594099279,0.00542525672852149,0,0.0455191838444197,0,0,0,0.1,0.0866522887157409,1.06263819528735
"9","TCGA-OR-A5KO-01A",0.0456125193347478,0,0.0135729651478896,0.0782520505406328,0.209179397677534,0.168707093987814,0,0,0,0,0.0450326665013687,0,0.0351464398322596,0.279611655658056,0.00123663517387332,0.0415865421005343,0,0.0483055433904779,0,0,0.0337564906548126,0,0.415,0.0112552296232958,1.09888566124012
"10","TCGA-OR-A5LE-01A",0,0.000946310539660539,0.0516298720200101,0.00370159358907042,0,0.196383512733881,0,0.0762771858469682,0.0222326296378823,0,0.099878073121482,0,0.0563125502044403,0.0105259146348299,0,0,0,0.377128153273629,0,0,0.104984204398146,0,0.565,-0.00106828882634602,1.11558199613692
"11","TCGA-OR-A5JX-01A",0.0489506589624472,0,0.00738101278215178,0.0538529101309037,0,0.207850661148838,0,0.00384412520802811,0,0,0.0147097636759752,0.101645766446286,0.198608790012518,0,0.0188075475136686,0.156362986719512,0,0.0197353980775493,0.14631483666583,0,0.0219355426562926,0,0.39,0.0143114957683631,1.07217014669179
