"","ID","StromalScore_estimate","ImmuneScore_estimate","ESTIMATEScore_estimate","TumorPurity_estimate"
"1","TCGA-OR-A5J2-01A",-511.122293223627,-578.604690496778,-1089.72698372041,0.902598646047796
"2","TCGA-OR-A5K5-01A",-1216.42387115721,-698.116705273798,-1914.540576431,0.947983933128226
"3","TCGA-OR-A5JW-01A",-949.420136073863,-549.390218756668,-1498.81035483053,0.926806233621052
"4","TCGA-OR-A5L8-01A",-882.919287297465,-1255.32821255778,-2138.24749985525,0.95792379093715
"5","TCGA-OR-A5JT-01A",-1029.10375587329,-559.296693750709,-1588.400449624,0.931664594928746
"6","TCGA-OR-A5JO-01A",712.790709097098,1845.52871418337,2558.31942328047,0.556591595969613
"7","TCGA-OR-A5JP-01A",-695.286289084875,-953.655944511779,-1648.94223359665,0.93485652270644
"8","TCGA-OR-A5JI-01A",62.0538802646434,290.521918575138,352.575798839781,0.791986034463738
"9","TCGA-OR-A5KO-01A",-1469.81240302763,-1287.69213100488,-2757.50453403251,0.980023339455162
"10","TCGA-OR-A5LE-01A",-1693.8660149645,-1337.34254586442,-3031.20856082892,0.98722075893112
"11","TCGA-OR-A5JX-01A",-777.936430047437,-443.540697688834,-1221.47712773627,0.91075462238408
"12","TCGA-OR-A5LN-01A",-516.798402224662,931.583636839368,414.785234614706,0.786377877504241
"13","TCGA-OR-A5LL-01A",-995.043050440901,-773.690538703715,-1768.73358914462,0.940954443751505
"14","TCGA-OR-A5K8-01A",-1056.62320203971,-553.873838209338,-1610.49704024905,0.932838127430789
"15","TCGA-OR-A5L3-01A",-1075.09611542262,-474.757278663233,-1549.85339408586,0.929593935294186
"16","TCGA-OR-A5JG-01A",-754.773698244422,-427.651124255491,-1182.42482249991,0.908372477995434
"17","TCGA-OU-A5PI-01A",-510.474671433502,-965.250040406515,-1475.72471184002,0.925528320920704
"18","TCGA-OR-A5KW-01A",-936.571254658325,-986.508942525375,-1923.0801971837,0.948382205570283
"19","TCGA-OR-A5JM-01A",-1402.10773756273,-1339.76273886917,-2741.8704764319,0.97956434403997
"20","TCGA-OR-A5L6-01A",-779.268306675563,2.54770747731712,-776.720599198246,0.881874226031807
"21","TCGA-OR-A5J9-01A",-944.451086057729,-824.381898621093,-1768.83298467882,0.940959382888623
"22","TCGA-OR-A5K2-01A",-800.354829212224,-345.739684593911,-1146.09451380613,0.906129569183811
"23","TCGA-OR-A5LT-01A",-1186.95381882266,-896.109275232768,-2083.06309405543,0.955567381308917
"24","TCGA-OR-A5J5-01A",-1530.27713968221,-839.45600682814,-2369.73314651035,0.967121818184889
"25","TCGA-OR-A5LH-01A",-1054.66016065924,-197.383933958709,-1252.04409461795,0.912598294858611
"26","TCGA-OR-A5JA-01A",-1309.41322663877,-526.881170628806,-1836.29439726757,0.944265400031488
"27","TCGA-OR-A5LJ-01A",-1289.76991422569,-469.395615055799,-1759.16552928149,0.940478052670235
"28","TCGA-OR-A5JL-01A",-1100.29701022209,-351.706007327588,-1452.00301754968,0.92420412815414
"29","TCGA-OR-A5JQ-01A",1.12635590965958,500.821838343716,501.948194253375,0.77840997391917
"30","TCGA-PK-A5HA-01A",92.6240372752495,715.573525401324,808.197562676574,0.749413022201886
"31","TCGA-OR-A5LO-01A",-1406.1538890256,-1434.95153810689,-2841.10542713249,0.982390101581077
"32","TCGA-OR-A5K0-01A",-1477.68269386242,-948.535271109467,-2426.21796497188,0.969197145528408
"33","TCGA-OR-A5K6-01A",-827.808610873241,-269.319507109383,-1097.12811798262,0.903065790405676
"34","TCGA-OR-A5LB-01A",-1255.11238040666,-1212.46045089272,-2467.57283129938,0.970674338344493
"35","TCGA-OR-A5J7-01A",-1109.22520145479,-874.249086095172,-1983.47428754997,0.951156304074699
"36","TCGA-OR-A5LC-01A",-534.278628882277,-633.999932271153,-1168.27856115343,0.907502203916127
"37","TCGA-OR-A5JK-01A",-197.168821162748,1206.38837986871,1009.21955870597,0.729552493387208
"38","TCGA-PK-A5H9-01A",-262.622003733536,-95.9667708102028,-358.588774543739,0.851293576437663
"39","TCGA-PK-A5H8-01A",-892.213502187456,-274.152495415094,-1166.36599760255,0.907384243170144
"40","TCGA-OR-A5LK-01A",-180.204830237082,1488.73502411844,1308.53019388135,0.698809678340695
"41","TCGA-OR-A5LP-01A",174.214750984947,281.545752952616,455.760503937563,0.782648123829927
"42","TCGA-OR-A5JV-01A",-61.7180454054402,1280.35015058586,1218.63210518042,0.708187759215105
"43","TCGA-OR-A5JE-01A",-711.192263956889,-174.872349331238,-886.064613288127,0.889327844916719
"44","TCGA-OR-A5JR-01A",-866.326592352605,-37.5683701418166,-903.894962494421,0.890521605372789
"45","TCGA-OR-A5JB-01A",-527.117219949014,1649.74161450217,1122.62439455315,0.71806697530543
"46","TCGA-OR-A5K4-01A",-1696.26057324524,-1100.79568368108,-2797.05625692632,0.981161475406661
"47","TCGA-OR-A5JC-01A",-704.058619281239,-346.748741494933,-1050.80736077617,0.900124602081567
"48","TCGA-OR-A5JS-01A",-1353.9968772972,-892.373411955249,-2246.37028925245,0.96235834044785
"49","TCGA-OR-A5LS-01A",-1308.81804992819,-1059.29801476608,-2368.11606469427,0.967061424820885
"50","TCGA-OR-A5KV-01A",-1333.02834137002,-1323.87610751106,-2656.90444888108,0.976979711898136
"51","TCGA-OR-A5JJ-01A",-1103.73678728253,-850.199629008178,-1953.9364162907,0.94980885897531
"52","TCGA-OR-A5JF-01A",-860.624613351248,-911.386612255367,-1772.01122560661,0.941117209605173
"53","TCGA-P6-A5OG-01A",922.904685660611,1812.94612265502,2735.85080831563,0.534755152144889
"54","TCGA-PA-A5YG-01A",62.7797362078022,881.63724869629,944.416984904092,0.736025064299589
"55","TCGA-OR-A5KZ-01A",-515.639845627628,-429.699299970934,-945.339145598562,0.893272754377902
"56","TCGA-OR-A5J8-01A",1560.06200831459,1841.7981775476,3401.86018586219,0.449723293370205
"57","TCGA-PK-A5HB-01A",-900.067870468274,-637.709214723761,-1537.77708519203,0.928939097932621
"58","TCGA-OR-A5K9-01A",-939.829544485919,-960.800374955349,-1900.62991944127,0.947331976059342
"59","TCGA-OR-A5JZ-01A",-829.797555372645,-197.690882125567,-1027.48843749821,0.898628184561985
"60","TCGA-OR-A5JD-01A",-585.253556571842,399.856207448337,-185.397349123505,0.837681012210018
"61","TCGA-OR-A5JY-01A",-979.928709914421,-146.583871839746,-1126.51258175417,0.904909955465285
