"","ID","B_cells_quantiseq","Macrophages_M1_quantiseq","Macrophages_M2_quantiseq","Monocytes_quantiseq","Neutrophils_quantiseq","NK_cells_quantiseq","T_cells_CD4_quantiseq","T_cells_CD8_quantiseq","Tregs_quantiseq","Dendritic_cells_quantiseq","Other_quantiseq"
"1","TCGA-OR-A5JQ-01A",0.0172597560806903,0,0.086227248431164,0.0251010205497733,0.0229035205141122,0.0236747407402955,0.0531437247662101,0.0126072437124186,0.0147234087149653,0,0.744359336490371
"2","TCGA-OR-A5J8-01A",0.0124990952571344,0.125565195943375,0.171597425239536,0,0,0.0311053189837559,0,0.0239559831494814,0.0233682354913945,0,0.611908745935323
"3","TCGA-OR-A5JK-01A",0.0264144363539601,0,0.0676285538469031,0.120793286725134,0,0.00857051623459497,0.0399016235916946,0.0597913169044921,0.0253218750628637,0,0.651578391280357
"4","TCGA-OR-A5LK-01A",0.0143872067893345,0,0.158736650185989,0.000472799962088785,0.0207074193723304,0.011701445877511,0.0171287025362564,0.0199528715170646,0.0268237482163943,0,0.730089155543031
"5","TCGA-OR-A5L5-01A",0.0215399461268602,0.00692215191429572,0.0572865004269543,0.0322095133897144,0.00659089028775355,0.0231772006910041,0.0111424314803504,0.0087002849183635,0.0251777222142958,0.0190107164835852,0.788242642066823
"6","TCGA-OR-A5JB-01A",0.00929218527030773,0.112909174789088,0.0525708628061315,0,0.0748497570815145,0.014670166452371,0,0.044641694561637,0.0186466120457936,0,0.672419546993157
"7","TCGA-OR-A5LA-01A",0.0149606691429738,0,0.0540575935911983,0.0858843932433434,0,0.0114731773308045,0.075331695814196,0.00909847862983905,0.0140647989129295,0,0.735129193334715
"8","TCGA-OR-A5KT-01A",0.015225559587213,0.0145068755557429,0.093627403808144,0.0723588804008584,0.00115283872276749,0.00574704735729697,0.0868826393133496,0.00188745394679945,0.0148727657680789,0,0.693738535539749
"9","TCGA-OR-A5JI-01A",0.0172213201631267,0,0.0734108769853646,0,0.0403091327630481,0.0270671052621126,0.0414081449279846,0.0107935394880834,0.0247210443006239,0.023755065157029,0.741313770952627
"10","TCGA-OR-A5LP-01A",0.0143852195867002,0.0106524649986125,0.0834935974128965,0.00346814781458685,0.0293541709384745,0.0243067519446905,0.045730445030093,0,0.0232176276013056,0.0171274214404764,0.748264153232164
"11","TCGA-OR-A5JO-01A",0.0206336054519296,0.0339247420096906,0.230636393814508,0.00157910103140406,0.0145736337167796,0.0217290323665033,0.014248355519158,0.0139126012227378,0.0249950920957998,0,0.623767442771489
"12","TCGA-PA-A5YG-01A",0.0212359796888315,0.00936694347893644,0.11120484281071,0.00964211869796346,0.0689973489293286,0.0252347858371688,0,0.0130141424884405,0.0200192394278597,0,0.721284598640761
"13","TCGA-OR-A5J6-01A",0.0219568721060278,0,0.0726119855737648,0.0931630788085154,0,0.0125110512585196,0.0600512848274687,0.00193946673501285,0.00933167854170901,0,0.728434582148982
